Date,Match,Team,Player,Position,PropType,Projected,SampleSize,RecentValues,Line,OverOdds,UnderOdds,ActualValue,HitOrMiss
2026-09-13T17:00Z,Tampa Bay Buccaneers @ Cincinnati Bengals,Tampa Bay Buccaneers,Emeka Egbuka,WR,Receptions,4.4,5,7.0; 4.0; 6.0; 4.0; 4.0,,,,,
2026-09-13T17:00Z,Tampa Bay Buccaneers @ Cincinnati Bengals,Tampa Bay Buccaneers,Baker Mayfield,QB,Passing Yards,233.1,5,379.0; 289.0; 233.0; 215.0; 167.0,,,,,
2026-09-13T17:00Z,Tampa Bay Buccaneers @ Cincinnati Bengals,Tampa Bay Buccaneers,Cade Otton,TE,Receptions,2.3,5,4.0; 3.0; 0.0; 3.0; 0.0,,,,,
2026-09-13T17:00Z,Tampa Bay Buccaneers @ Cincinnati Bengals,Tampa Bay Buccaneers,Bucky Irving,RB,Rushing Yards,58.2,5,61.0; 63.0; 66.0; 71.0; 37.0,,,,,
2026-09-13T17:00Z,Tampa Bay Buccaneers @ Cincinnati Bengals,Cincinnati Bengals,Ja'Marr Chase,WR,Receptions,5.5,5,6.0; 5.0; 5.0; 14.0; 2.0,,,,,
2026-09-13T17:00Z,Tampa Bay Buccaneers @ Cincinnati Bengals,Cincinnati Bengals,Joe Burrow,QB,Passing Yards,193.5,5,225.0; 284.0; 261.0; 76.0; 113.0,,,,,
2026-09-13T17:00Z,Tampa Bay Buccaneers @ Cincinnati Bengals,Cincinnati Bengals,Mike Gesicki,TE,Receptions,2.3,5,2.0; 1.0; 1.0; 3.0; 1.0,,,,,
2026-09-13T17:00Z,Tampa Bay Buccaneers @ Cincinnati Bengals,Cincinnati Bengals,Chase Brown,RB,Rushing Yards,43.9,5,27.0; 40.0; 3.0; 47.0; 43.0,,,,,
2026-09-13T17:00Z,Atlanta Falcons @ Pittsburgh Steelers,Atlanta Falcons,Drake London,WR,Receptions,5.5,5,10.0; 8.0; 5.0; 3.0; 8.0,,,,,
2026-09-13T17:00Z,Atlanta Falcons @ Pittsburgh Steelers,Atlanta Falcons,Tua Tagovailoa,QB,Passing Yards,209.1,5,256.0; 177.0; 146.0; 315.0; 114.0,,,,,
2026-09-13T17:00Z,Atlanta Falcons @ Pittsburgh Steelers,Atlanta Falcons,Kyle Pitts Sr.,TE,Receptions,4.4,5,3.0; 5.0; 4.0; 4.0; 7.0,,,,,
2026-09-13T17:00Z,Atlanta Falcons @ Pittsburgh Steelers,Atlanta Falcons,Bijan Robinson,RB,Rushing Yards,75.8,5,170.0; 75.0; 72.0; 143.0; 24.0,,,,,
2026-09-13T17:00Z,Atlanta Falcons @ Pittsburgh Steelers,Pittsburgh Steelers,DK Metcalf,WR,Receptions,3.8,5,4.0; 5.0; 3.0; 3.0; 4.0,,,,,
2026-09-13T17:00Z,Atlanta Falcons @ Pittsburgh Steelers,Pittsburgh Steelers,Aaron Rodgers,QB,Passing Yards,217.6,5,235.0; 200.0; 139.0; 203.0; 244.0,,,,,
2026-09-13T17:00Z,Atlanta Falcons @ Pittsburgh Steelers,Pittsburgh Steelers,Pat Freiermuth,TE,Receptions,2.5,5,1.0; 0.0; 1.0; 3.0; 3.0,,,,,
2026-09-13T17:00Z,Atlanta Falcons @ Pittsburgh Steelers,Pittsburgh Steelers,Jaylen Warren,RB,Rushing Yards,56.0,5,127.0; 52.0; 47.0; 48.0; 37.0,,,,,
2026-09-13T17:00Z,Cleveland Browns @ Jacksonville Jaguars,Cleveland Browns,Jerry Jeudy,WR,Receptions,3.6,5,2.0; 3.0; 1.0; 4.0; 5.0,,,,,
2026-09-13T17:00Z,Cleveland Browns @ Jacksonville Jaguars,Cleveland Browns,Harold Fannin Jr.,TE,Receptions,4.3,5,4.0; 2.0; 3.0; 5.0; 7.0,,,,,
2026-09-13T17:00Z,Cleveland Browns @ Jacksonville Jaguars,Cleveland Browns,Quinshon Judkins,RB,Rushing Yards,70.8,5,36.0; 110.0; 82.0; 94.0; 61.0,,,,,
2026-09-13T17:00Z,Cleveland Browns @ Jacksonville Jaguars,Jacksonville Jaguars,Brian Thomas Jr.,WR,Receptions,3.3,5,4.0; 5.0; 2.0; 4.0; 1.0,,,,,
2026-09-13T17:00Z,Cleveland Browns @ Jacksonville Jaguars,Jacksonville Jaguars,Trevor Lawrence,QB,Passing Yards,221.2,5,221.0; 174.0; 222.0; 271.0; 178.0,,,,,
2026-09-13T17:00Z,Cleveland Browns @ Jacksonville Jaguars,Jacksonville Jaguars,Brenton Strange,TE,Receptions,3.9,5,1.0; 6.0; 6.0; 3.0; 4.0,,,,,
2026-09-13T17:00Z,Cleveland Browns @ Jacksonville Jaguars,Jacksonville Jaguars,Bhayshul Tuten,RB,Rushing Yards,35.2,5,6.0; 14.0; 21.0; 42.0; 11.0,,,,,
2026-09-13T17:00Z,Chicago Bears @ Carolina Panthers,Chicago Bears,Rome Odunze,WR,Receptions,4.6,5,2.0; 4.0; 3.0; 7.0; 6.0,,,,,
2026-09-13T17:00Z,Chicago Bears @ Carolina Panthers,Chicago Bears,Caleb Williams,QB,Passing Yards,232.3,5,252.0; 212.0; 298.0; 207.0; 210.0,,,,,
2026-09-13T17:00Z,Chicago Bears @ Carolina Panthers,Chicago Bears,Colston Loveland,TE,Receptions,2.2,5,3.0; 2.0; 1.0; 0.0; 2.0,,,,,
2026-09-13T17:00Z,Chicago Bears @ Carolina Panthers,Chicago Bears,D'Andre Swift,RB,Rushing Yards,57.3,5,108.0; 38.0; 33.0; 63.0; 53.0,,,,,
2026-09-13T17:00Z,Chicago Bears @ Carolina Panthers,Carolina Panthers,Tetairoa McMillan,WR,Receptions,4.5,5,6.0; 4.0; 3.0; 6.0; 5.0,,,,,
2026-09-13T17:00Z,Chicago Bears @ Carolina Panthers,Carolina Panthers,Bryce Young,QB,Passing Yards,209.6,5,198.0; 150.0; 121.0; 328.0; 154.0,,,,,
2026-09-13T17:00Z,Chicago Bears @ Carolina Panthers,Carolina Panthers,Tommy Tremble,TE,Receptions,2.7,5,1.0; 5.0; 2.0; 3.0; 1.0,,,,,
2026-09-13T17:00Z,Chicago Bears @ Carolina Panthers,Carolina Panthers,Chuba Hubbard,RB,Rushing Yards,54.6,5,31.0; 49.0; 73.0; 38.0; 57.0,,,,,
2026-09-13T20:25Z,Arizona Cardinals @ Los Angeles Chargers,Arizona Cardinals,Marvin Harrison Jr.,WR,Receptions,4.0,5,4.0; 6.0; 3.0; 2.0; 5.0,,,,,
2026-09-13T20:25Z,Arizona Cardinals @ Los Angeles Chargers,Arizona Cardinals,Jacoby Brissett,QB,Passing Yards,168.6,5,261.0; 279.0; 320.0; 0.0; 0.0,,,,,
2026-09-13T20:25Z,Arizona Cardinals @ Los Angeles Chargers,Arizona Cardinals,Trey McBride,TE,Receptions,5.0,5,5.0; 7.0; 5.0; 6.0; 6.0,,,,,
2026-09-13T20:25Z,Arizona Cardinals @ Los Angeles Chargers,Los Angeles Chargers,Ladd McConkey,WR,Receptions,4.3,5,5.0; 1.0; 4.0; 5.0; 6.0,,,,,
